N,run,tempo_cpu_ms,tempo_gpu_ms,speedup
1000,1,0.0045,0.1681,0.03
1000,2,0.0042,0.1678,0.03
1000,3,0.004,0.1685,0.02
1000,4,0.0043,0.1679,0.03
1000,5,0.0041,0.1682,0.02
100000,1,0.321,0.2076,1.55
100000,2,0.3198,0.2071,1.54
100000,3,0.3221,0.208,1.55
100000,4,0.3205,0.2073,1.55
100000,5,0.3201,0.2078,1.54
1000000,1,3.162,0.3349,9.44
1000000,2,3.1635,0.3345,9.46
1000000,3,3.161,0.3352,9.43
1000000,4,3.164,0.3347,9.45
1000000,5,3.1625,0.335,9.44
10000000,1,31.485,0.5917,53.21
10000000,2,31.48,0.5915,53.23
10000000,3,31.488,0.5919,53.19
10000000,4,31.482,0.5916,53.22
10000000,5,31.486,0.5918,53.2
